펫티켓 포스터,"첨부파일
펫티켓01
.jpg
null
파일 다운로드
필요하신분 쓰세요","허수아비2
2023.01.05. 12:30"
[개는 훌륭하다] 온순한 대형견 사이에 존재감 뿜뿜~ 말티푸 폭견 꼬망이 “동네에 저런 개 꼭 있다” 강형욱 한탄,"개는 훌륭하다 캡처
보호자는 꼬망이가 잘못 삼킨 이물질을 제거하기 위한 수술을 한 뒤 공격성이 심해졌다고 밝혔다. 점점 심해지는 꼬망이의 공격성은 함께 사는 소망과 희망이에게도 영향을 미치고 있었다.
꼬망이가 입양되기 전까지 일체 짖지 않았던 두 대형견들은 꼬망이의 도발 때문에 최근부터 짖음 행동을 보이기 시작했다. 보호자는 아직은 온순한 대형견들이 꼬망을 공격할지도 모른다며 노심초사했다.
꼬망이는 희망과 소망이 움직일 때마다 동선을 막아서며 경계심을 드러냈다. 특히 소파 위에 올라가려 하거나 보호자 곁에 다가가려 할 때 꼬망이의 공격성은 극에 달했다.
산책을 나간 꼬망은 시야에 보이는 낯선 사람들과 강아지들을 향해 짖기 시작했다. 분노조절장애라도 있는 듯 혼신의 힘을 다해 짖고 날뛰는 꼬망의 모습에 강형욱은 “동네마다 저런 개 한 마리씩 꼭 있다.” 며 헛웃음을 터뜨렸다.
사전답사를 나온 이경규는 직접 키우고 있는 말티푸 ‘누룽지’를 소개하며 보호자들의 공감을 샀다. “누룽지도 불도그들이 움직이면 똑같이 짖고 경계한다.” 고 밝힌 이경규는 갑자기 대가족 속에 입양된 꼬망이 많은 관계 속에서 혼란을 느끼는 것 같다고 추측했다.
영상을 지켜보던 강형욱은 “부정적인 말을 하는 사람이 늘 곁에 있다면 어떨지 상상해보라.” 며 꼬망의 도발적 행동이 소망과 희망에게 큰 스트레스가 될 수 있다는 점을 강조했다.
<개는 훌륭하다>는 방방곡곡 전국의 개를 만나러 다니며 벌어지는 훈련사 도전기를 통해 반려견을 완벽히 이해하고 개와 사람이 행복해지는 펫티켓을 배우며 전국의 훌륭한 반려인들을 통해 우리나라 실정에 맞는 한국형 반려견 문화까지 고민해 보는 프로그램이다.
매주 월요일 밤 11시 10분에 방송된다.",[0]
[개는 훌륭하다] “우리 개들 문제 없는데…?” 반려견 싸움은 놀이일 뿐이라는 아빠 보호자,"개는 훌륭하다 캡처
사전 답사를 나간 이경규와 장도연의 방문에 하이가 뜻밖의 반응을 보였다.
외부인을 향한 심각한 짖음 행동을 호소했던 보호자들은 이경규와 장도연의 방문에 침착하게 반응하는 하이에게 당황했다. 조용하던 하이는 이경규와 장도연이 자리에서 일어나자 그제야 짖기 시작했다.
인터뷰를 진행하던 중 묘한 분위기를 느낀 장도연은 아빠 보호자에게 “고민이 있는지?” 를 물었다. 아빠 보호자는 “아무 문제가 없는데 왜 신청을 했는지 모르겠다.” 라는 의문을 표했다.
강형욱이 현장에 방문했다. 루는 꼬리를 흔들며 강형욱을 반겼고 하이는 조심스럽게 강형욱 주변을 살피며 냄새를 맡았다. 이번에도 짖지 않는 하이의 모습에 영상을 지켜보던 장도연과 이경규는 의아함을 느꼈다.
현관에 서 있던 강형욱이 거실로 이동하자 조용하던 하이가 짖기 시작했다. 이후에도 짖음은 멈추지 않았고 강형욱은 이런 상황에 해왔던 보호자들의 대처법을 물었다.
아빠 보호자는 짖고 있는 하이를 품에 안았고 하이는 그 즉시 짖음을 멈췄다. 강형욱은 “외부인이 갑작스러운 행동을 할까 봐 짖으며 경계하는 것.” 이라 진단하며 그동안 짖음으로 문제를 해결해 왔을 것이라고 추측했다.
<개는 훌륭하다>는 방방곡곡 전국의 개를 만나러 다니며 벌어지는 훈련사 도전기를 통해 반려견을 완벽히 이해하고 개와 사람이 행복해지는 펫티켓을 배우며 전국의 훌륭한 반려인들을 통해 우리나라 실정에 맞는 한국형 반려견 문화까지 고민해 보는 프로그램이다.
매주 월요일 밤 11시 10분에 방송된다.",[0]
반려동물에 대한 '반려인'과 '비반려인' 인식조사 발표,"반려동물에 대한 반려인과 비반려인 간 인식의 차이가 여전히 크며,  ‘동물보호법 강화’에 대한 요구가 커지고 있는 것으로 조사됐다.
이같은 내용은 농림수산식품교육문화정보원(원장 이종순, 이하 농정원)이 반려동물 에티켓(펫티켓)을 주제로 온라인 언급량과 주요 키워드를 분석한 ‘FATI(Farm Trend&Issue)’ 보고서를 통해 발표했다.
이번 분석은 최근 4년간(2019~2022년) 온라인 뉴스, 커뮤니티, 블로그, 카페, 트위터, 인스타그램, 유튜브, 페이스북에 게시된 65만건 이상의 데이터를 활용했으며, 분석 결과 반려동물 양육인(이하 반려인)과 비반려인 간 인식 차이가 컸고 ‘동물보호법 강화’에 대한 요구가 커지고 있는 것으로 나타났다.
통계청이 진행한 인구주택총조사에 따르면 반려동물을 키우는 가구는 2020년 기준으로 전체 가구 가운데 15%(312만9000명)를 차지하는 것으로 나타났다. 반려 인구가 늘어남에 따라 펫티켓 관련 온라인 정보량은 꾸준히 증가했으나 내용 면에서는 변화를 보였다.
2019년에는 정부, 지방자치단체의 펫티켓 홍보 캠페인 등 반려동물에 대한 국민 인식 개선 노력이 주를 이뤘지만 2020년 이후로는 개 물림 사고가 증가함에 따라 맹견 사육 규정 확대, 처벌 및 피해 보상 제도 개선 등을 요구하는 목소리와 함께 반려동물을 가족 구성원으로 인식하는 분위기가 확산되기 시작했다. 
그러나 사회 분위기의 변화 속에서도 반려인과 비반려인 간 인식 차이는 여전히 존재하는 것으로 나타났다.
농정원에서 진행한 ‘동물보호에 대한 국민의식조사(2022)’에 따르면, 반려인은 83%가 반려동물 제도 및 법규 준수 여부에 “준수한다”고 답했지만, 이에 동의하는 비반려인은 34%에 불과했다.
한국관광공사의 ‘반려동물 동물여행 실태조사(2022)’에서는 반려인과 비반려인 간 갈등 원인에 대해 반려인들은 “비반려인의 적대적 행동”, 비반려인들은 “반려동물의 위생, 소음 문제”를 지적했다.
한편 반려동물 관련 법·제도에 대한 필요성과 긍정 반응*은 꾸준히 높은 지지율을 보인 반면, 정책에 대한 부정 반응*은 매년 감소 추세를 보였다. 
특히 동물보호법 강화를 요구하는 목소리가 커지고 있는 것으로 나타났는데, 이는 잇따른 개 물림 사고로 인해 반려견 목줄 착용 등 펫티켓의 필요성과 대형견 입마개 의무화 등 제도 개선 요구에 대한 국민적 공감이 높아졌기 때문으로 보인다.  
‘펫티켓’ 하면 가장 먼저 떠오르는 것은 ‘목줄’로 나타났으며 주요 언급 장소로는 공원, 놀이터 등 실외 장소를 비롯해 ‘카페’, ‘아파트’, ‘승강기’ 등 공공장소의 언급도 다수 나타났다.  
이런 동물보호에 대한 국민 인식을 반영해 올해 2월 반려견 안전 관리 의무가 강화됐다. 개정된 동물보호법(2022년 2월 11일 시행)에 따르면 외출 시 목줄·가슴줄 길이를 2m 안으로 제한하고, 공동 주택의 내부 공용 공간에서는 반려견을 직접 안거나 잡아야 하며 위반 시 50만원 이하 과태료가 부과된다.
농정원 이종순 원장은 “동물보호법 개정에 따른 혼란을 방지하고, 피해를 예방하고자 개정 내용을 알리는 홍보를 꾸준히 추진하고 있다”며 “농정원이 운영하는 동물사랑배움터를 통해 진행 중인 반려동물 안전 관리·생명 보호 교육을 통해 반려인과 비반려인 간 인식 차이를 해소할 수 있었으면 한다”고 말했다.
출처 : 반려동물에 대한 '반려인'과 '비반려인' 인식조사 발표 < 펫&애니멀헬스 < 라이프 < 기사본문 - 팜뉴스 (pharmnews.com)",[0]
"충주시-건국대,반려견 캠페인 한다네요 ㅎㅎ","충주시-건국대,반려견 펫티켓 캠페인
펫티켓은 ‘pet 반려동물’과 etiquette 에티켓’의 합성어로,반려인이 비반려인에게 지켜야 할 일조의 예의를 뜻한다
이번 캠페인은 최즌 반려견 놀이터 주변을 이용하는 시민으로 부터 반려견 배변으로 인한 배변 처리 요구가 발생하는 등반려인과 비반려인의 사회적 갈등을 해소하기 위해 추진됐다
캠페인은 호암종합체육관,대가미공원,호암지 반려견놀이터 등에서 반려견 보호자를 대상으로 펫티켓 가두 캠페인과 물티슈,배변 봉투 배부를 통해 배변 즉시 수거,반려견이동 시 안전조치 등 펫티켓을 적극 홍보했다
충주시는 반려동물 동반 특화시설인 켄싱턴리조트,펫트리파크,각종 캠핑장이 있으면 민관협력 캠페인,반려동물 문화특강,반려동물 문화돌봄교실을 통해 반려동물 문화도시로 성장 가능성을 보유한 잠재 도시다
또 반려동물보호센터와 건국대 반려동물 법률상담센터, 충주휴게소 반려동물 입양지원 센터, 호암동종합체육관 반려동물 놀이터,수안보 하수 처리장 생태공원 반려견 놀이터등의 공공시설을 갖추고 있다
아울러 수안보,수주팔봉,목계나루,종댕이길,세계무술공원,탄금대 등에서도 반려동물을 동반한 야외활동이 가능하다
시 관계자는 ‘반려동물 관련 훌륭한 주변 시설을 보유한 만큼 많은 시민이 이용하는 시민공원 내 놀이시설을 청결히 사용하여  반려동물과 함꼐하는 문화도시로 더 가까이 나갈수 있는 계기가 될 것으로 기대한다”며 “앞으로도 지속적인 캠페인을 실시해 사람과 동물이 공존하는 성숙한 반려동물 문화를 만들기 위해 노력하겠다”고 말했다",[0]
반려동물 펫티켓 지켜주세요,,[0]
반려동물 펫티켓 지켜주세요!,,[0]
[개는 훌륭하다] 하루 종일 도발하는 꼬망이 참아주는 희망+소망 “둘이 착해서 꼬망이가 아직 살아있는 것” 강형욱 충격 진단,"개는 훌륭하다 캡처
산책을 나간 꼬망은 시야에 보이는 낯선 사람들과 강아지들을 향해 짖기 시작했다. 분노조절장애라도 있는 듯 혼신의 힘을 다해 짖고 날뛰는 꼬망의 모습에 강형욱은 “동네마다 저런 개 한 마리씩 꼭 있다.” 며 헛웃음을 터뜨렸다.
사전답사를 나온 이경규는 직접 키우고 있는 말티푸 ‘누룽지’를 소개하며 보호자들의 공감을 샀다. “누룽지도 불도그들이 움직이면 똑같이 짖고 경계한다.” 고 밝힌 이경규는 갑자기 대가족 속에 입양 된 꼬망이 많은 관계 속에서 혼란을 느끼는 것 같다고 추측했다.
영상을 지켜보던 강형욱은 “부정적인 말을 하는 사람이 늘 곁에 있다면 어떨지 상상해보라.” 며 꼬망의 도발적 행동이 소망과 희망에게 큰 스트레스가 될 수 있다는 점을 강조했다.
현장에 방문한 강형욱은 소망이의 분리와 주 보호자 설정의 중요성을 알렸다. 하지만 반려견들과 정이 많이 든 보호자는 소망의 분리를 거부했고 공생이 가능한 훈련을 요청했다.
강형욱은 “희망이와 소망이가 착해서 꼬망이 아직까지 살아 있는 것.” 이라는 진단으로 충격을 안겼다. 이어 공생을 위해 꼬망이를 가까이 두지 말고 밀어내는 것이 좋다고 조언하며 “말티푸는 질투를 가지고 태어났기 때문에 쉽지는 않을 것.” 이라 설명했다.
첫 번째 훈련 ‘꼬망이와 거리 두기’를 시작한 강형욱은 늘 엄마 보호자 무릎에 앉아 있는 꼬망을 단호하게 밀어내라 조언했다. 불편한 몸 때문에 하루 대부분의 시간을 반려견들과 함께 지내야 하는 엄마 보호자에 강형욱은 “누구도 예뻐해 주지 말고 무관심하게 생활하라.” 는 점을 특별히 강조했다.
<개는 훌륭하다>는 방방곡곡 전국의 개를 만나러 다니며 벌어지는 훈련사 도전기를 통해 반려견을 완벽히 이해하고 개와 사람이 행복해지는 펫티켓을 배우며 전국의 훌륭한 반려인들을 통해 우리나라 실정에 맞는 한국형 반려견 문화까지 고민해 보는 프로그램이다.
매주 월요일 밤 11시 10분에 방송된다.",[0]
[개는 훌륭하다] “꼬망이는 이 동네 미친개” 역지사지 충격요법으로 훈련 의지 다잡은 보호자,"개는 훌륭하다 캡처
강형욱은 꼬망이가 보호자 주변에 누가 오지 못하게 하는 경계 행동을 자신의 할 일이라 착각하고 있다고 진단했다. 이어 이런 꼬망의 행동은 말티푸가 가진 태생적인 행동이면서도 몸이 불편한 보호자를 지키고자 하는 본능이 추가로 더해진 것 같다 추측했다.
엄마 보호자는 무릎에 앉아있는 꼬망을 밀어냈다. 꼬망은 재빨리 무릎으로 돌아가 품에 안기려 했지만 보호자는 꼬망이 다가오지 못하게 끊임없이 밀어냈다.
처음 경험하는 보호자의 행동에 꼬망은 크게 당황했다. 강형욱은 자녀들에게 소망과 희망을 소파로 불러보라 부탁했다. 평소 소망과 희망이가 소파에 올라가려 하면 짖으며 입질을 했던 꼬망이는 보호자의 관계 회복에 집중한 나머지 소망과 희망이의 행동에 반응하지 않았다.
강형욱은 “밀어내기만 해도 행동에 변화가 생겼다.” 며 훈련 효과에 만족감을 드러냈다. 계속되는 거리 두기 훈련에 밀쳐진 꼬망은 구석에 앉아 세상을 잃을듯한 표정으로 웃음을 안겼다.
산책 훈련이 시작됐다. 늘 휠체어에 앉은 엄마 보호자에 안겨 산책을 즐기던 꼬망은 목줄이 불편한 듯 보호자에게 매달렸다.
강형욱은 목줄을 당기며 통제를 시작했다. 낯선 개를 발견한 꼬망은 경계 행동을 보였지만 강형욱의 단호한 통제 덕분에 이내 평정심을 찾았다.
180도 달라진 꼬망의 모습에 보호자는 안쓰러움을 느낀 듯 눈물을 보였다. 강형욱은 “꼬망은 이 동네 미친 개였을 거다. 매일같이 다른 개들에게 불편함을 줬을것.” 이라고 일침했다. 마음을 다잡은 보호자는 다시 훈련을 시작했고 얼마 지나지 않아 평화로운 산책을 즐길 수 있게 됐다.
<개는 훌륭하다>는 방방곡곡 전국의 개를 만나러 다니며 벌어지는 훈련사 도전기를 통해 반려견을 완벽히 이해하고 개와 사람이 행복해지는 펫티켓을 배우며 전국의 훌륭한 반려인들을 통해 우리나라 실정에 맞는 한국형 반려견 문화까지 고민해 보는 프로그램이다.
매주 월요일 밤 11시 10분에 방송된다.",[0]
펫티켓 준수사항,,[0]
"경남, 178억 투입해 밀양‧창원‧양산‧거제 반려동물 지원센터 건립 추진","도비 60%, 시군비 40%로 진행...문화·교육·복지 등 종합센터 조성
경상남도가 총 반려동물 복합 문화공간 조성을 위해 4개 반려동물 지원센터 건립을 추진한다고 밝혔다.
경상남도 반려동물 지원센터는 반려동물과 관련된 체험 학습 프로그램 운영을 비롯해 펫티켓 교육장, 유기동물분양센터, 반려동물 놀이터, 동물병원 등이 포함된 ‘반려동물 복합 문화공간’을 뜻한다. 경상남도는 “반려동물과 관련된 서비스를 한 장소에서 제공받을 수 있을 것”이라고 설명했다.
경남은 지난 2019년부터 반려동물 지원센터 건립을 추진하고 있다. 최초 사업대상은 밀양시(단장면 농어촌관광휴양단지 내)이며 총사업비 80억 원을 투입해 올해 연말 완공 예정이다.
밀양뿐만 아니라, 창원, 양산, 거제에도 센터가 들어선다.
창원시(상복공원 인근)와 양산시(농업기술센터 인근)는 2021년도 사업대상자로 선정되어 센터 건립이 추진 중이며, 거제시(사등면 유기동물보호소 인근)는 올해 사업대상자로 선정됐다.
경남은 반려동물 지원센터 4개소 건립을 위해 총 178억 원의 사업비를 확정했고, 올해 82억 원을 투입한다. 또한, 신규로 센터 건립을 희망하는 시·군을 대상으로 오는 7월 서류심사 및 현장평가를 진행할 계획이다. 개소당 80억 원까지 지원 예정이다(도비 60%, 시군비 40%).
정연상 경상남도 농정국장은 “동물보호와 동물복지 실현을 위해 필요 예산을 지원하고 있다”며 “사람과 동물의 상생을 위해서는 반려인의 펫티켓 준수 등 도민들의 의식 개선이 필요하다”고 말했다.
한편, 경상남도는 올해 △직영 동물보호센터 건립 △동물보호센터 운영비 지원(경상·자본) △유기·유실동물 입양비용 지원 △유기·유실동물 구조·보호비용 지원 △길고양이 중성화수술 지원 △야생(들)개 포획 및 구조 지원 △반려동물 등록비용 지원 △실외사육견 중성화수술 지원 △민간(사설)동물보호시설 환경개선 지원 등 10개 동물보호·동물복지 정책 사업에 82억원을 투입 중이다.",[0]
[화성소식 ]강형욱이 들려주는 반려가족 두 번째 이야기🐕,"🏡우리 WITH 가족  
강형욱이 들려주는 반려가족 두 번째 이야기🐕
[2022년 반려문화 명사특강]
 ⏰ 7. 26.(화) 오후 4시~6시  📍모두누림센터 누림아트홀
☑ 강 연 자 : 강형욱 
☑ 강연내용
-KBS '개는 훌륭하다'에 출연 중인 강형욱 훈련사가 자신의 노하우와 경험, 반려가족이 공존하기 위한 공공예절 등을 소개할 예정
☑ 접수기간 : 2022. 7. 11.(월)오전9시~ 선착순 마감
☑ 접수방법 : 화성시 통합예약 시스템( https://yeyak.hscity.go.kr/index.do)
#화성 #화성시 #강형욱 #개통령 #반려가족 #반려견 #반려견산책 #배변훈련 #펫티켓 #페티켓 #강아지 #반려동물 #개물림사고 #대처방법 #좋아요 #좋반 #팔로우
#광비콤#여울공원#동탄역",[0]
제주도 독채 펜션 토토의바다 (언택트 여행지 추천),"안녕하세요 솜곰이네예요
제주도 여행 리뷰 간단하게 써 봅니다 😊
빠르게 음슴체로 갈게요
그럼 고고~💕🙆🏻‍♀️❤️
여행 컨셉: 일찍 일어나는 새가 코로나를 피한다
❤️숙소: 토토의 바다 (표선면 토산리) 
https://www.airbnb.co.kr/rooms/50707837?adults=4&pets=2&location=%ED%91%9C%EC%84%A0&check_in=2022-08-25&check_out=2022-08-26&source_impression_id=p3_1644206397_e38L3zkAbkOD0HF8
<토토의바다>100평 마당을 단독사용하는 서귀포 표선의 리모델링 시골집 반려견 동반가능 - Pyoseon-myeon, Seogwipo의 전원주택에서 살아보기, 제주도, 한국
한국 Pyoseon-myeon, Seogwipo의 집 전체 안녕하세요 토토의 바다 주인장 토토맘입니다 저희 토토의 바다를 찾아주셔서 감사합니다 이곳은 제주도 서귀포 표선면 토산리라는 한적한 동네에 위치한 집 전체가 낮은 돌담으로 둘러 쌓인 조용하고 프라이버시가 보장된 단독주택입니다. 코로나 사태에 대해 걱정하시는 부분을 ...
www.airbnb.co.kr
💕숙소 장점: 완전 독채, 
정수기/식세기/화장실 2개/방3개/저렴한 가격
친절한 사장님/피드백 빠름/웰컴푸드
새벽에 나가도 잔디에 이슬이 없음(방문시기 1월)
이거 필요한데 싶으면 그게 꼭 있는 세심함/ 난방 잘 됨
청결도 상
💕숙소 단점: 소파 없음(있긴한데 방에 있고 거실에 없음)
세탁기 없음/ 도깨비풀이 많음(가을~겨울 한정)
밭 구석까지 쫓아다니기 힘들어서 이식증이 있는 경우 주의 필요
고양이 경계심이 높을 경우 주의 필요(길냥이 급식소 있음) 
외풍이 다소 있음(겨울 한정) 
❤️숙소 총평: 내 집처럼 편안하고 아늑한 숙소
아쉬운 점이 분명히 있지만 그걸 상쇄하고도 남을 만큼 매력적이고 따스한 곳. 펜션 보다 우리집이라고 부르는 게 어울리는 곳. 
❤️언택트 여행지 (서귀포 위주)
무조건 아침8시에 일정을 시작하는 게 핵심
특별한 곳 보다 사람이 없는 곳을 골랐어요
💕성읍민속마을: 사람이 정말 없고 하늘이 탁 트여 호젓하게 걷기 정말 좋은 곳. 빈 집이 제법 있어 조금 무서울수도 있으니 점심 전후로 방문하기를 추천. 무료. 반려견 동반 가능. 
추천 기념품: 오메기술 한 병 2만원
💕유채꽃재배단지: 네비에 찍고 가면 큰 주차장이 나오는데  성산일출봉을 배경으로 유채꽃 사진을 찍을 수 있음. 무료. 당연히 반려견 출입 가능
💕1100고지: 아침9시 전에 도착하면 사람 없음
9시 넘으면 주차장이 꽉 차고 데크에도 사람이 많이 몰리므로 1100고지를 간다면 무조건 9시 전에.
❤️맛집
💕옛날통닭&강정(포장)
제주 서귀포시 표선면 표선백사로 106
http://naver.me/G4rLdEsA
인생 어쩌구 하는 표현 안 좋아하는데 살면서 먹어본 치킨 중에 여기가 일등입니다. 옛날통닭 좋아하시는 분은 꼭 가세요. 
💕릴로 (브런치)
제주 제주시 구좌읍 종달로 60-12
http://naver.me/xRQ0Z4yg
추천 메뉴: 감자스프, 아보카도 샌드위치 
개모차 있을 시 동반 가능. 머리 나와도 됨. 
친절하시고 내부도 이쁘고 직원분들이 강아지를 아주 좋아하세요. 
💕와흘길따라(전골)
제주 제주시 조천읍 남조로 2324
http://naver.me/xQx3iRPH
방문 전 반드시 전화 확인 필수
원래 동반 가능 식당 아닌데 사장님 배려로 식사할 수 있었어요. 손님 유무에 따라 동반 여부가 갈리므로 꼭 사전에 문의하시고 펫티켓 지켜주셔야 합니다. (유모차 필수, 머리 나와도 됨, 짖음 심한 경우 동반 불가) 
서귀포에서 제주항으로 올라가는 길목에 있어 편리하고
무엇보다 음식이 정말 맛있습니다
담백하면서도 감칠맛이 있어 여행 막날에 과식했어요 😅
든든하게 먹고 배 타면 한숨자기 딱입니다. 
추천 메뉴: 소고기 전골, 만두. 근데 기본으로 나오는 죽이 제일 맛있었어요 😋
 제주에 몇 만 명이 몰렸다는데 하도 조용한데만 가서 하루에 사람 10명도 못 본 날도 있었어요 😅 차를 갖고 가는게 힘들긴 했지만 결과적으로 훨씬 더 편안한 여행이 되었어요. 💕 아~ 또 가고 싶어요 😊💕❤️","경기 토르맘
달려가고 싶네요~~^^
2022.02.07. 14:03"
올바른 반려문화를 위한 펫티켓,"정보제공 : 충주시청홈페이지 https://www.chungju.go.kr
https://www.youtube.com/watch?v=J3VrGviF_d4",[0]
"남양주시 평내동 주민자치회, ‘제3회 평내동 주민총회’ 개최","남양주시 평내동 주민자치회(회장 반성숙)는 11일 
남양주소방서 3층 대강당에서 ‘2022년 제3회 평내동 주민총회’를 개최했다.
 주민총회란 
지역 주민이 직접 마을의 의제를 발굴하고 투표를 통해 마을의 의제를 결정하는 마을의 의사 결정 방법으로, 
이번 주민총회에는 조광한 남양주시장을 비롯해 평내동 주민자치회 위원, 주민 등 
300여 명이 참석했다.
 평내동 주민자치회는 
평내동 주민 누구나 참여 가능한 열린마을꾸밈단 활동을 통해 최종 7개의 마을 의제를 발굴했으며, 
투표 참여율을 높이기 위해 행사 개최 10일 전부터 온라인 투표 및 길거리 사전 투표 등을 실시했다.
 이날 행사는 
평내동주민자치센터 기타 동아리 통소리, 드림오카리나 앙상블 연주 및 남양주시립합창단의 축하 공연을 시작으로, 
모범 시민 표창, 주민자치회 활동 보고, 마을 의제 발표, 토론회, 마을 의제 투표순으로 진행됐다.
 마을 의제 발표는 7개의 마을 의제를 분야별 대표 주민이 설명하는 방식으로 진행됐으며, 
사전 투표 및 현장 투표 결과에 따라 
▲아나바다 장터 마을 축제 
▲펫티켓 홍보 
▲백봉산 축제 
▲홀몸 어르신 말벗하기 순으로 총 4개의 마을 의제가 선정됐다. 
평내동 주민자치회는 주민총회에서 선정된 마을 의제를 
올해 안에 순차적으로 실행해 나갈 계획이다.
 조광한 남양주시장은 
“지방자치의 본질은 지역의 특성에 맞게 주민 삶의 가치를 높이는 것에 있다.”라며 
“평내동 주민자치회가 앞장서서 주민 삶의 가치를 높이는 전국적인 모범 사례를 이끌어 나가길 바란다.”라고 말했다.
 이번 주민총회를 주관한 반성숙 평내동 주민자치회장은 
“마을 현안에 관심을 갖고 투표에 참여해 주신 많은 주민들께 감사드리며, 
총회에서 선정된 주민 의제를 성공적으로 추진해 주민이 바라는 살기 좋은 마을을 만들 수 있도록 
평내동 주민자치회가 적극 노력하겠다.”라고 밝혔다.
평내동 행정민원팀 진은선 031-590-8573",[0]
[기타] 동물을 대하는 올바른 방법 그림카드,"동물을 대하는 올바른 방법 그림카드
첨부파일
★아토별★ [기타] 동물을 대하는 올바른 방법 그림카드
.zip
null
파일 다운로드
#예절그림카드 #동물그림카드 #교육그림카드 #어린이집그림카드
#동물예절그림카드 #펫티켓그림카드 #유아교육그림카드",[0]
[기타] 동물을 대하는 올바른 방법 그림카드 (배경만),"동물을 대하는 올바른 방법 그림카드 (배경만)
첨부파일
★아토별★ [기타] 동물을 대하는 올바른 방법 그림카드 (배경만)
.zip
null
파일 다운로드
#동물예절그림카드 #동물그림카드 #예절그림카드 #유아교육그림카드
#어린이집그림카드 #펫티켓그림카드 #교육그림카드",[0]
CHIẾN DỊCH GIA ĐÌNH HẠNH PHÚC LẦN THỨ 2 NĂM 2022‘ PHÉP LỊCH SỰ- PET TICKET CÔNG CỘNG ĐỐI VỚI THÚ CƯNG’ 2022년 2회 행복가족캠페인 '반려동물 공공 에티켓-펫티켓',"CHIẾN DỊCH GIA ĐÌNH HẠNH PHÚC LẦN THỨ 2 NĂM 2022
‘ PHÉP LỊCH SỰ- PET TICKET CÔNG CỘNG ĐỐI VỚI THÚ CƯNG’
 Đi dạo hạnh phúc cùng với thú cưng
Phép lịch sự phải giữ gồm có nhũng gì?
 Đối tượng: tất cả gia đình muốn tham gia
 Thời gian tham gia: 11.04.2022~04.04.2022
 Cách tham gia: mã QR hoặc đường link: 
 Để biết thêm: sdt 070-7492-2634 team dự án gia đình",[0]
